id,testimony,topic
rec_cocs13t23jsre5ghac9g,rec_cocrpk523jsre5gha9eg,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghaca0,rec_cocrpk523jsre5gha9f0,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghacag,rec_cocrpk523jsre5gha9fg,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghacb0,rec_cocrpk523jsre5gha9g0,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghacbg,rec_cocrpk523jsre5gha9gg,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghacc0,rec_cocrpk523jsre5gha9h0,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghaccg,rec_cocrpk523jsre5gha9hg,rec_cobdesq5ojbselbdqr80
rec_cocs13t23jsre5ghacd0,rec_cocrpk523jsre5gha9c0,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacdg,rec_cocrpk523jsre5gha9cg,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghace0,rec_cocrpk523jsre5gha9d0,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghaceg,rec_cocrpk523jsre5gha9dg,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacf0,rec_cocrpk523jsre5gha9e0,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacfg,rec_cocrpk523jsre5gha9eg,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacg0,rec_cocrpk523jsre5gha9f0,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacgg,rec_cocrpk523jsre5gha9fg,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghach0,rec_cocrpk523jsre5gha9g0,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghachg,rec_cocrpk523jsre5gha9gg,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghaci0,rec_cocrpk523jsre5gha9h0,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacig,rec_cocrpk523jsre5gha9hg,rec_cobdet25ojbselbdqs00
rec_cocs13t23jsre5ghacj0,rec_cocrpk523jsre5gha9c0,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacjg,rec_cocrpk523jsre5gha9cg,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghack0,rec_cocrpk523jsre5gha9d0,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghackg,rec_cocrpk523jsre5gha9dg,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacl0,rec_cocrpk523jsre5gha9e0,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghaclg,rec_cocrpk523jsre5gha9eg,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacm0,rec_cocrpk523jsre5gha9f0,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacmg,rec_cocrpk523jsre5gha9fg,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacn0,rec_cocrpk523jsre5gha9g0,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacng,rec_cocrpk523jsre5gha9gg,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghaco0,rec_cocrpk523jsre5gha9h0,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacog,rec_cocrpk523jsre5gha9hg,rec_cobdet25ojbselbdqrtg
rec_cocs13t23jsre5ghacp0,rec_cocrpk523jsre5gha9c0,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacpg,rec_cocrpk523jsre5gha9cg,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacq0,rec_cocrpk523jsre5gha9d0,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacqg,rec_cocrpk523jsre5gha9dg,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacr0,rec_cocrpk523jsre5gha9e0,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacrg,rec_cocrpk523jsre5gha9eg,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacs0,rec_cocrpk523jsre5gha9f0,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacsg,rec_cocrpk523jsre5gha9fg,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghact0,rec_cocrpk523jsre5gha9g0,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghactg,rec_cocrpk523jsre5gha9gg,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacu0,rec_cocrpk523jsre5gha9h0,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacug,rec_cocrpk523jsre5gha9hg,rec_cobdet25ojbselbdqrv0
rec_cocs13t23jsre5ghacv0,rec_cocrpk523jsre5gha9c0,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghacvg,rec_cocrpk523jsre5gha9cg,rec_cobdesq5ojbselbdqr8g
rec_cocs13t23jsre5ghad00,rec_cocrpk523jsre5gha9d0,rec_cobdesq5ojbselbdqr8g
